,area,rooms,parking,bathrooms,lat,lon,price
272,103,4,2,3,-23.2534054,-45.9166353,794900
274,61,2,1,2,-23.2307302,-45.8975618,450000
275,75,3,1,1,-23.2200324,-45.8872035,410000
276,51,2,1,1,-23.202293,-45.906894,435000
277,122,3,2,3,-23.2153165,-45.9095676,1170000
279,83,3,2,2,-23.2221126,-45.9095335,796900
280,75,2,2,2,-23.2487836,-45.8925307,490000
281,75,2,2,2,-23.2190226,-45.908767,827000
282,103,3,2,2,-23.2153165,-45.9095676,915000
283,194,3,3,4,-23.2127421,-45.9069145,2150000
287,48,2,1,1,-23.1698499,-45.7893012,190000
288,103,3,2,2,-23.2153165,-45.9095676,915100
290,72,2,2,2,-23.2043732,-45.8959331,798000
291,54,2,1,1,-23.2028182,-45.9003141,460000
292,74,3,1,2,-23.2221126,-45.9095335,640000
293,51,2,1,2,-23.2432353,-45.8932115,365000
294,103,3,2,3,-23.2052682,-45.8881552,680000
295,55,2,1,2,-23.2534054,-45.9166353,475000
297,61,2,1,2,-23.2473088,-45.8854256,390000
298,51,2,1,1,-23.1961965,-45.8841151,350000
299,100,2,2,3,-23.2341234,-45.9256624,960000
300,133,3,2,3,-23.2082214,-45.9083253,1700000
302,60,3,1,2,-23.2514089,-45.8898838,300000
303,72,3,1,2,-23.1417569,-45.7825794,510000
306,167,3,2,4,-23.2082214,-45.9083253,2050000
310,48,2,1,1,-23.2341234,-45.9256624,380000
313,85,3,2,2,-23.2281635,-45.8793978,698000
314,90,3,2,2,-23.2629313,-45.8910605,795000
315,115,4,2,3,-23.2205233,-45.9051222,765000
320,72,2,1,1,-23.1903996,-45.8891452,420000
321,96,3,2,3,-23.2151853,-45.9090412,1100000
322,65,2,1,1,-23.2319718,-45.8942925,371000
324,60,2,1,2,-23.2499985,-45.9083387,395000
326,114,4,2,3,-23.2629313,-45.8910605,615000
327,38,1,1,1,-23.2052682,-45.8881552,320000
328,78,3,1,2,-23.1853312,-45.8543047,470000
329,67,2,2,2,-23.2043732,-45.8959331,790000
330,77,2,2,2,-23.2629313,-45.8910605,600000
331,67,3,1,2,-23.2534054,-45.9166353,398000
332,77,2,2,2,-23.2629313,-45.8910605,600000
333,50,2,2,1,-23.2127421,-45.9069145,750000
334,75,3,2,2,-23.1774234,-45.8623515,385000
335,96,3,2,3,-23.2228195,-45.9104962,1150000
337,75,2,2,2,-23.1956647,-45.8937347,850000
338,95,3,2,3,-23.2190226,-45.908767,798000
339,94,3,2,2,-23.2166401,-45.907289,750000
340,80,3,1,2,-23.2210113,-45.8861064,480000
341,54,2,1,1,-22.8927416,-45.3786132,375000
342,103,4,2,3,-23.2052682,-45.8881552,640000
343,76,2,1,2,-23.2013346,-45.9462429,585999
344,278,3,4,5,-23.2082214,-45.9083253,3500000
345,75,2,2,2,-23.1956647,-45.8937347,955000
346,143,3,2,3,-23.2221126,-45.9095335,1600000
347,92,3,2,2,-23.2629313,-45.8910605,780000
349,63,2,1,2,-23.1827844,-45.9503959,424000
350,75,2,1,2,-23.2311239,-45.9066157,552914
351,33,1,1,1,-23.1979166,-45.9113619,420300
355,86,3,2,2,-23.1417569,-45.7825794,550000
356,63,2,1,2,-23.2041152,-45.8853984,487600
357,85,2,2,3,-23.2049539,-45.9015195,922000
358,158,4,4,4,-23.1987975,-45.9352675,1434200
360,125,3,2,3,-23.2228195,-45.9104962,1390000
362,100,3,2,2,-23.2198567,-45.8913555,900000
363,95,3,2,2,-23.253497,-45.8829921,670000
364,108,2,2,2,-23.2534054,-45.9166353,650000
365,50,1,1,1,-23.2067366,-45.9103019,465136
366,78,3,1,2,-23.1853312,-45.8543047,470000
367,75,2,2,2,-23.2341234,-45.9256624,719000
368,167,3,2,5,-23.2082214,-45.9083253,2360000
369,100,3,2,2,-23.2505639,-45.8914715,500000
370,56,2,1,1,-23.2434773,-45.9058528,275000
371,67,3,1,2,-23.1805844,-45.8471383,362000
373,59,2,1,1,-23.2402544,-45.8933781,409892
377,92,2,2,2,-23.1956647,-45.8937347,1138836
